mirna	target_gene	mirna_gene_id	target_gene_id	mirna_chr	target_gene_chr
MIR122	RP5-857K21.4	ENSG00000284440	NA	chr18	NA
MIR320A	RP5-857K21.4	ENSG00000208037	NA	chr8	NA
MIR196A	RP5-857K21.4	NA	NA	NA	NA
MIR29B	RP5-857K21.4	NA	NA	NA	NA
MIR130A	RP5-857K21.4	ENSG00000208009	NA	chr11	NA
MIR93	RP5-857K21.4	ENSG00000207757	NA	chr7	NA
MIR185	RP5-857K21.4	ENSG00000208023	NA	chr22	NA
MIR454	RP5-857K21.4	ENSG00000211514	NA	chr17	NA
MIR23A	RP5-857K21.4	ENSG00000207980	NA	chr19	NA
MIR21	RP5-857K21.4	ENSG00000284190	NA	chr17	NA
MIR16	RP5-857K21.4	ENSG00000198987	NA	chr3	NA
MIR16	RP5-857K21.4	ENSG00000208006	NA	chr13	NA
MIR17	RP5-857K21.4	ENSG00000284536	NA	chr13	NA
MIR1908	RP5-857K21.4	ENSG00000284416	NA	chr11	NA
MIR374A	RP5-857K21.4	ENSG00000199168	NA	chrX	NA
MIR374B	RP5-857K21.4	ENSG00000212027	NA	chrX	NA
MIR92A	RP5-857K21.4	NA	NA	NA	NA
MIR26A	RP5-857K21.4	NA	NA	NA	NA
MIR140	RP5-857K21.4	ENSG00000208017	NA	chr16	NA
MIR296	RP5-857K21.4	ENSG00000284040	NA	chr20	NA
MIR15A	RP5-857K21.4	ENSG00000283785	NA	chr13	NA
NA	RP5-857K21.4	NA	NA	NA	NA
MIR455	RP5-857K21.4	ENSG00000207726	NA	chr9	NA
MIR423	HES4	ENSG00000283935	ENSG00000188290	chr17	chr1
MIR26B	B3GALT6	ENSG00000199121	ENSG00000176022	chr2	chr1
NA	B3GALT6	NA	ENSG00000176022	NA	chr1
MIR320A	ACAP3	ENSG00000208037	ENSG00000131584	chr8	chr1
NA	ACAP3	NA	ENSG00000131584	NA	chr1
MIR320A	CPSF3L	ENSG00000208037	NA	chr8	NA
NA	RP5-890O3.9	NA	NA	NA	NA
MIR20A	RP5-890O3.9	ENSG00000283762	NA	chr13	NA
MIR26A	AURKAIP1	NA	ENSG00000175756	NA	chr1
NA	AURKAIP1	NA	ENSG00000175756	NA	chr1
MIR181A	SSU72	NA	ENSG00000160075	NA	chr1
MIR16	SSU72	ENSG00000198987	ENSG00000160075	chr3	chr1
MIR16	SSU72	ENSG00000208006	ENSG00000160075	chr13	chr1
MIR17	SSU72	ENSG00000284536	ENSG00000160075	chr13	chr1
MIR194	NADK	ENSG00000207624	ENSG00000008130	chr1	chr1
MIR194	NADK	ENSG00000229719	ENSG00000008130	chr11	chr1
MIR194	NADK	ENSG00000284155	ENSG00000008130	chr11	chr1
MIR27A	NADK	ENSG00000207808	ENSG00000008130	chr19	chr1
MIR106B	NADK	ENSG00000208036	ENSG00000008130	chr7	chr1
NA	NADK	NA	ENSG00000008130	NA	chr1
NA	GNB1	NA	ENSG00000078369	NA	chr1
MIR455	GNB1	ENSG00000207726	ENSG00000078369	chr9	chr1
MIRLET7B	GNB1	ENSG00000284520	ENSG00000078369	chr22	chr1
MIR19B	GNB1	NA	ENSG00000078369	NA	chr1
